BMC P1V2         | 1.201      | Volts      | ok    | na        | 1.037     | 1.100     | 1.303     | 1.357     | na        
BMC P1V8         | 1.813      | Volts      | ok    | na        | 1.568     | 1.656     | 1.940     | 2.029     | na        
BMC P2V5         | 2.507      | Volts      | ok    | na        | 2.178     | 2.302     | 2.699     | 2.836     | na        
BMC P3V3 STBY    | 3.391      | Volts      | ok    | na        | 2.862     | 3.038     | 3.567     | 3.724     | na        
BMC PV6          | 0.600      | Volts      | ok    | na        | 0.521     | 0.550     | 0.650     | 0.681     | na        
BRICK1 P12V      | 12.033     | Volts      | ok    | na        | 10.458    | 11.025    | 12.978    | 13.545    | na        
BRICK2 P12V      | 12.096     | Volts      | ok    | na        | 10.458    | 11.025    | 12.978    | 13.545    | na        
CPU0 13V5        | 13.419     | Volts      | ok    | na        | 8.733     | 9.230     | 16.188    | 16.969    | na        
CPU0 P1V1        | 1.104      | Volts      | ok    | na        | 0.828     | 0.876     | 1.188     | 1.236     | na        
CPU0 P1V8        | 1.800      | Volts      | ok    | na        | 1.572     | 1.656     | 1.944     | 2.028     | na        
CPU0 P3V3        | 2.745      | Volts      | ok    | na        | 2.391     | 2.525     | 2.965     | 3.099     | na        
CPU0 VCORE0      | 1.032      | Volts      | ok    | na        | 0.480     | 0.516     | 2.160     | 2.256     | na        
CPU0 VCORE1      | 1.032      | Volts      | ok    | na        | 0.480     | 0.516     | 2.160     | 2.256     | na        
CPU0 VDDIO       | 1.116      | Volts      | ok    | na        | 0.780     | 0.828     | 1.296     | 1.356     | na        
CPU0 VSOC        | 1.176      | Volts      | ok    | na        | 0.648     | 0.696     | 1.296     | 1.356     | na        
CPU1 13V5        | 13.490     | Volts      | ok    | na        | 8.733     | 9.230     | 16.188    | 16.969    | na        
CPU1 P1V1        | 1.104      | Volts      | ok    | na        | 0.828     | 0.876     | 1.188     | 1.236     | na        
CPU1 P1V8        | 1.800      | Volts      | ok    | na        | 1.572     | 1.656     | 1.944     | 2.028     | na        
CPU1 P3V3        | 2.745      | Volts      | ok    | na        | 2.391     | 2.525     | 2.965     | 3.099     | na        
CPU1 VCORE0      | 1.032      | Volts      | ok    | na        | 0.480     | 0.516     | 2.160     | 2.256     | na        
CPU1 VCORE1      | 1.032      | Volts      | ok    | na        | 0.480     | 0.516     | 2.160     | 2.256     | na        
CPU1 VDDIO       | 1.116      | Volts      | ok    | na        | 0.780     | 0.828     | 1.296     | 1.356     | na        
CPU1 VSOC        | 1.176      | Volts      | ok    | na        | 0.648     | 0.696     | 1.296     | 1.356     | na        
MAIN P3V3        | 3.297      | Volts      | ok    | na        | 2.873     | 3.062     | 3.580     | 3.721     | na        
P48V VIN         | 53.704     | Volts      | ok    | na        | 34.888    | 36.848    | 61.152    | 61.936    | na        
